,Date,Word,Clue,Primary Cluster,Cluster,ends in question,number words,length of clue,no alphabet characters,is quote,contains underscore,contains asterisk,contains done,number of non-consecutive periods in clue,is ellipsis in clue,avg word length,number commas in clue,percentage words (other than first word) that are upper-case,number non a-z or 1-9 characters in clue,contains e.g.,contains etc.,quoted clues,contains dir.,"contains ,maybe",contains word before,contains bible clue
61,10/31/2021,SPY,Northern ___ (curiously named apple variety),Other,,False,6,44,10,False,True,False,False,0,False,6.5,0,0.16666666666666666,0.11363636363636363,False,False,False,False,False,False,False
134,10/30/2021,NOAH,"TV host who was the subject of the documentary ""You Laugh but It's True""",Other,,False,14,72,16,False,False,False,False,0,False,4.214285714285714,0,0.2857142857142857,0.041666666666666664,False,False,False,False,False,False,False
136,10/30/2021,ANT,Its larva is eaten as a delicacy in the Mexican dish escamoles,Other,,False,12,62,11,False,False,False,False,0,False,4.25,0,0.08333333333333333,0.0,False,False,False,False,False,False,False
146,10/30/2021,THY,"""___ love is better than high birth to me"": Shak.",Other,,False,10,49,16,False,True,False,False,1,False,4.0,0,0.1,0.14285714285714285,False,False,False,False,False,False,False
164,10/30/2021,COAT,Outer layer,Other,,False,2,11,1,False,False,False,False,0,False,5.0,0,0.5,0.0,False,False,False,False,False,False,False
165,10/30/2021,ART,Linocuts and such,Other,,False,3,17,2,False,False,False,False,0,False,5.0,0,0.0,0.0,False,False,False,False,False,False,False
191,10/30/2021,EDEN,"___ Prairie, suburb of Minneapolis",Other,,False,5,34,8,False,True,False,False,0,False,6.0,1,0.4,0.11764705882352941,False,False,False,False,False,False,False
231,10/29/2021,OYE,"Spanish ""Hey!""",Other,,False,2,14,4,False,False,False,False,0,False,6.5,0,0.5,0.21428571428571427,False,False,False,False,False,False,False
254,10/29/2021,ENOCH,Eldest son of Cain,Other,,False,4,18,3,False,False,False,False,0,False,3.75,0,0.5,0.0,False,False,False,False,False,False,False
283,10/28/2021,ANT,___-Man,Other,,False,1,7,4,False,True,False,False,0,False,7.0,0,0.0,0.5714285714285714,False,False,False,False,False,False,False
290,10/28/2021,BABE,Sweets,Single Word,,False,1,6,0,False,False,False,False,0,False,6.0,0,0.0,0.0,False,False,False,False,False,False,False
301,10/28/2021,SWEAR,See 68-Across,Other,,False,2,13,4,False,False,False,False,0,False,6.0,0,0.0,0.07692307692307693,False,False,False,False,False,False,False
358,10/27/2021,EST,"Humorous suffix with ""most"" and ""best""",Other,,False,6,38,9,False,False,False,False,0,False,5.5,0,0.0,0.10526315789473684,False,False,False,False,False,False,False
421,10/26/2021,ACTS,Has a part to play,Other,,False,5,18,4,False,False,False,False,0,False,2.8,0,0.0,0.0,False,False,False,False,False,False,False
544,10/25/2021,ART,Good name for a museum curator?,Other,,True,6,31,6,False,False,False,False,0,False,4.333333333333333,0,0.0,0.03225806451612903,False,False,False,False,False,False,False
600,10/24/2021,SPY,One doing inside work,Other,,False,4,21,3,False,False,False,False,0,False,4.5,0,0.0,0.0,False,False,False,False,False,False,False
603,10/24/2021,AMOS,Book before Obadiah,Other,,False,3,19,2,False,False,False,False,0,False,5.666666666666667,0,0.6666666666666666,0.0,False,False,False,False,False,False,False
606,10/24/2021,HAN,Solo traveling in space,Other,,False,4,23,3,False,False,False,False,0,False,5.0,0,0.0,0.0,False,False,False,False,False,False,False
652,10/24/2021,INRI,Crucifix inscription inits.,Other,,False,3,27,3,False,False,False,False,1,False,8.333333333333334,0,0.3333333333333333,0.037037037037037035,False,False,False,False,False,False,False
653,10/24/2021,EAST,___ New York (Brooklyn neighborhood),Other,,False,5,36,9,False,True,False,False,0,False,6.4,0,0.6,0.1388888888888889,False,False,False,False,False,False,False
679,10/23/2021,APOSTLE,"Literally, ""one who is sent off""",Other,,False,6,32,8,False,False,False,False,0,False,4.5,1,0.0,0.09375,False,False,False,False,False,False,False
774,10/22/2021,HORSEMEN,Quartet in Revelation,Other,,False,3,21,2,False,False,False,False,0,False,6.333333333333333,0,0.3333333333333333,0.0,False,False,False,False,False,False,False
796,10/22/2021,GOD,"Uranus, e.g.",Other,,False,2,12,4,False,False,False,False,2,False,5.5,1,0.5,0.25,True,False,False,False,False,False,False
797,10/21/2021,IRAN,Home of many Zoroastrians,Other,,False,4,25,3,False,False,False,False,0,False,5.5,0,0.25,0.0,False,False,False,False,False,False,False
1055,10/18/2021,AVA,Director DuVernay,Other,,False,2,17,1,False,False,False,False,0,False,8.0,0,1.0,0.0,False,False,False,False,False,False,False
1060,10/18/2021,THOU,Holier-than-___,Other,,False,1,15,5,False,True,False,False,0,False,15.0,0,0.0,0.3333333333333333,False,False,False,False,False,False,False
1113,10/17/2021,STONED,"On edibles, say",Other,,False,3,15,3,False,False,False,False,0,False,4.333333333333333,1,0.0,0.06666666666666667,False,False,False,False,False,False,False
1147,10/17/2021,ANT,Sight on an M. C. Escher Möbius strip,Other,,False,8,37,10,False,False,False,False,2,False,3.75,0,0.625,0.08108108108108109,False,False,False,False,False,False,False
1172,10/17/2021,DANIEL,"Name that means ""God is my judge""",Other,,False,7,33,8,False,False,False,False,0,False,3.857142857142857,0,0.14285714285714285,0.06060606060606061,False,False,False,False,False,False,False
1202,10/17/2021,ARI,"The Cardinals, on scoreboards",Other,,False,4,29,4,False,False,False,False,0,False,6.5,1,0.25,0.034482758620689655,False,False,False,False,False,False,False
1235,10/16/2021,YEA,For choice,Other,,False,2,10,1,False,False,False,False,0,False,4.5,0,0.0,0.0,False,False,False,False,False,False,False
1279,10/15/2021,AMEN,Enthusiastic assent,Other,,False,2,19,1,False,False,False,False,0,False,9.0,0,0.0,0.0,False,False,False,False,False,False,False
1294,10/15/2021,ARI,Shapiro of NPR,Other,,False,3,14,2,False,False,False,False,0,False,4.0,0,0.6666666666666666,0.0,False,False,False,False,False,False,False
1351,10/14/2021,VERSE,Frost bit?,Other,,True,2,10,2,False,False,False,False,0,False,4.5,0,0.5,0.1,False,False,False,False,False,False,False
1362,10/14/2021,ELI,"Wearer of a ""Y"" sweatshirt",Other,,False,5,26,6,False,False,False,False,0,False,4.4,0,0.4,0.07692307692307693,False,False,False,False,False,False,False
1411,10/13/2021,EVE,Night before,Other,,False,2,12,1,False,False,False,False,0,False,5.5,0,0.5,0.0,False,False,False,False,False,False,False
1435,10/13/2021,MOSES,Exodus leader,Other,,False,2,13,1,False,False,False,False,0,False,6.0,0,0.0,0.0,False,False,False,False,False,False,False
1476,10/13/2021,ILE,"Réunion, for one",Other,,False,3,16,4,False,False,False,False,0,False,4.666666666666667,1,0.0,0.125,False,False,False,False,False,False,False
1602,10/11/2021,ANT,Tiny builder of tunnels and hills,Other,,False,6,33,5,False,False,False,False,0,False,4.666666666666667,0,0.0,0.0,False,False,False,False,False,False,False
1609,10/11/2021,BAAL,Biblical false god,Other,,False,3,18,2,False,False,False,False,0,False,5.333333333333333,0,0.0,0.0,False,False,False,False,False,False,True
1623,10/10/2021,SARAH,___ Lawrence College,Other,,False,3,20,5,False,True,False,False,0,False,6.0,0,0.6666666666666666,0.15,False,False,False,False,False,False,False
1637,10/10/2021,ALOU,Baseball family name much seen in crosswords,Other,,False,7,44,6,False,False,False,False,0,False,5.428571428571429,0,0.0,0.0,False,False,False,False,False,False,False
1655,10/10/2021,UNTO,Golden rule word,Other,,False,3,16,2,False,False,False,False,0,False,4.666666666666667,0,0.3333333333333333,0.0,False,False,False,False,False,False,False
1656,10/10/2021,OYE,"Spanish ""Listen!""",Other,,False,2,17,4,False,False,False,False,0,False,8.0,0,0.5,0.17647058823529413,False,False,False,False,False,False,False
1712,10/10/2021,SORES,Tender areas,Other,,False,2,12,1,False,False,False,False,0,False,5.5,0,0.0,0.0,False,False,False,False,False,False,False
1909,10/7/2021,AMEN,"""My thoughts exactly!""",Other,,False,3,22,5,True,False,False,False,0,False,6.666666666666667,0,0.0,0.13636363636363635,False,False,True,False,False,False,False
1952,10/6/2021,ARI,Political journalist Berman,Other,,False,3,27,2,False,False,False,False,0,False,8.333333333333334,0,0.3333333333333333,0.0,False,False,False,False,False,False,False
1959,10/6/2021,PASSAGE,Excerpt,Single Word,,False,1,7,0,False,False,False,False,0,False,7.0,0,0.0,0.0,False,False,False,False,False,False,False
1993,10/6/2021,ELNINO,Current event?,Other,,True,2,14,2,False,False,False,False,0,False,6.5,0,0.0,0.07142857142857142,False,False,False,False,False,False,False
2100,10/4/2021,ARK,Setting for a couples cruise?,Other,,True,5,29,5,False,False,False,False,0,False,5.0,0,0.0,0.034482758620689655,False,False,False,False,False,False,False
2174,10/3/2021,EDEN,Paradise lost,Other,,False,2,13,1,False,False,False,False,0,False,6.0,0,0.0,0.0,False,False,False,False,False,False,False
2358,10/1/2021,ISAAC,Whom Sarah had in her early 90s,Other,,False,7,31,8,False,False,False,False,0,False,3.5714285714285716,0,0.2857142857142857,0.0,False,False,False,False,False,False,False
2361,10/1/2021,ERAT,Part of Q.E.D.,Other,,False,3,14,5,False,False,False,False,3,False,4.0,0,0.3333333333333333,0.21428571428571427,False,False,False,False,False,False,False
2397,10/1/2021,ADAM,Driver around a lot?,Other,,True,4,20,4,False,False,False,False,0,False,4.25,0,0.25,0.05,False,False,False,False,False,False,False
2418,9/30/2021,TIS,"Contraction that drops an ""i""",Other,,False,5,29,6,False,False,False,False,0,False,5.0,0,0.0,0.06896551724137931,False,False,False,False,False,False,False
2480,9/29/2021,ASS,Big jerk,Other,,False,2,8,1,False,False,False,False,0,False,3.5,0,0.0,0.0,False,False,False,False,False,False,False
