,number,start_col,start_row,end_col,end_row,clue,"answer (optional column, for checking only)",number_direction,length,answer_certainty,answer_list,placed_answer,coordinate_set,Top_Predicted_Classes
0,1,0,0,4,0,Yankee Stadium has 24 of these,ACRES,1-Across,5,,[],,"{(4, 0), (0, 0), (2, 0), (3, 0), (1, 0)}","[('Roman numeral', 0.37), ('Find name given profession/reference', 0.27), ('Foreign language', 0.14)]"
1,6,6,0,9,0,In the thick of,AMID,6-Across,4,,[],,"{(9, 0), (7, 0), (8, 0), (6, 0)}","[('Roman numeral', 0.33), ('Foreign language', 0.2), ('Pun indicated by question mark', 0.16)]"
2,10,11,0,13,0,Org. with X-rays,TSA,10-Across,3,,[],,"{(12, 0), (13, 0), (11, 0)}","[('Find name given profession/reference', 0.34), ('Acronym/short form answer', 0.29), ('Roman numeral', 0.12)]"
3,13,15,0,17,0,Shape of a heron's neck,ESS,13-Across,3,,[],,"{(17, 0), (15, 0), (16, 0)}","[('Roman numeral', 0.32), ('Acronym/short form answer', 0.24), ('Pun indicated by question mark', 0.16)]"
4,16,0,1,4,1,Bit of publicity,PROMO,16-Across,5,,[],,"{(0, 1), (2, 1), (3, 1), (1, 1), (4, 1)}","[('Encyclopedia lookup', 0.26), ('Roman numeral', 0.23232891049756596), ('Straight definition', 0.16)]"
5,17,6,1,9,1,Bag for a diamond,BASE,17-Across,4,,[],,"{(6, 1), (9, 1), (7, 1), (8, 1)}","[('Foreign language', 0.28717677136596054), ('Roman numeral', 0.22282322863403944), ('Straight definition', 0.22)]"
6,18,11,1,13,1,Yellowfin tuna,AHI,18-Across,3,,[],,"{(11, 1), (12, 1), (13, 1)}","[('Foreign language', 0.45399554254183483), ('Biblical', 0.26), ('Roman numeral', 0.14600445745816518)]"
7,19,15,1,19,1,"Cheney and Harris, informally",VEEPS,19-Across,5,,[],,"{(17, 1), (18, 1), (19, 1), (15, 1), (16, 1)}","[('Acronym/short form answer', 0.19), ('Find name given profession/reference', 0.18), ('Foreign language', 0.16)]"
8,22,0,2,13,2,One prone to idol thoughts,HEROWORSHIPPER,22-Across,14,,[],,"{(6, 2), (1, 2), (9, 2), (4, 2), (0, 2), (11, 2), (12, 2), (7, 2), (2, 2), (13, 2), (8, 2), (3, 2), (10, 2), (5, 2)}","[('Foreign language', 0.25), ('Pun indicated by question mark', 0.16), ('Clever synonyms and examples', 0.12)]"
9,25,15,2,20,2,Marsh birds,EGRETS,25-Across,6,,[],,"{(16, 2), (17, 2), (18, 2), (19, 2), (20, 2), (15, 2)}","[('Roman numeral', 0.42243724522975934), ('Foreign language', 0.21756275477024067), ('Acronym/short form answer', 0.18)]"
