,Clue,Word,Class,Solved_answer,Is answer correct,cleaned_answer
3121,French clerics,ABBES,Foreign language,religieux,FALSE,RELIGIEUX
3615,French flower,OISE,Foreign language,fleur,FALSE,FLEUR
3616,French flier,OISEAU,Foreign language,prospectus,FALSE,PROSPECTUS
3618,Spanish sight seer?,OJO,Foreign language,¿Veer de la vista?,FALSE,¿VEERDELAVISTA
3619,Spanish seer?,OJO,Foreign language,¿vidente?,FALSE,¿VIDENTE
3621,Spanish seers?,OJOS,Foreign language,¿Videntes?,FALSE,¿VIDENTES
3623,Spanish swell,OLA,Foreign language,hinchar,FALSE,HINCHAR
3624,Spanish waves,OLAS,Foreign language,ondas,FALSE,ONDAS
3625,"Spanish ""huzzah!""",OLE,Foreign language,"""¡Huzzah!""",FALSE,¡HUZZAH
3614,French river,OISE,Foreign language,rivière,FALSE,RIVIERE
3626,Spanish cheer,OLE,Foreign language,alegría,FALSE,ALEGRIA
3629,Spanish stew,OLLA,Foreign language,guiso,FALSE,GUISO
3630,Spanish crockery,OLLAS,Foreign language,vajilla,FALSE,VAJILLA
3631,Spanish stews,OLLAS,Foreign language,guisos,FALSE,GUISOS
3633,Italian code of silence,OMERTA,Foreign language,Codice di silenzio,FALSE,CODICEDISILENZIO
3634,French wave,ONDE,Foreign language,vague,FALSE,VAGUE
3635,French waves,ONDES,Foreign language,flots,FALSE,FLOTS
3637,Italian time period,ORA,Foreign language,periodo di tempo,FALSE,PERIODODITEMPO
3638,Italian time unit,ORA,Foreign language,Unità temporale,FALSE,UNITATEMPORALE
3627,Spanish root word?,OLE,Foreign language,Palabra raíz?,FALSE,PALABRARAIZ
3612,Spanish direction,OESTE,Foreign language,dirección,FALSE,DIRECCION
3611,French eye,OEIL,Foreign language,œil,FALSE,ŒIL
3610,Spanish figure eights,OCHOS,Foreign language,Figura ocho,FALSE,FIGURAOCHO
3587,Spanish child,NENE,Foreign language,niño,FALSE,NINO
3588,Spanish kids,NENES,Foreign language,niños,FALSE,NINOS
3589,Spanish babies,NENES,Foreign language,criaturas,FALSE,CRIATURAS
3590,Spanish infants,NENES,Foreign language,bebés,FALSE,BEBES
3591,Spanish babes,NENES,Foreign language,chicas,FALSE,CHICAS
3592,"Spanish babies, informally",NENES,Foreign language,"Bebés, informalmente",FALSE,BEBESINFORMALMENTE
3593,"Place name that in Spanish means ""covered in snow""",NEVADA,Foreign language,'NONE' IS AN INVALID TARGET LANGUAGE . EXAMPLE: LANGPAIR=EN|IT USING 2 LETTER ISO OR RFC3066 LIKE ZH-CN. ALMOST ALL LANGUAGES SUPPORTED BUT SOME MAY HAVE NO CONTENT,FALSE,NONEISANINVALIDTARGETLANGUAGEEXAMPLELANGPAIRENITUSING2LETTERISOORRFC3066LIKEZHCNALMOSTALLLANGUAGESSUPPORTEDBUTSOMEMAYHAVENOCONTENT
3594,Spanish girls,NINAS,Foreign language,chicas,FALSE,CHICAS
3595,Spanish youngster,NINO,Foreign language,joven,FALSE,JOVEN
3596,Spanish boy,NINO,Foreign language,chico,FALSE,CHICO
3598,Spanish boys,NINOS,Foreign language,chicos,FALSE,CHICOS
3599,"Spanish equivalent of ""Basta!""",NOMAS,Foreign language,"equivalente de ""Basta!""",FALSE,EQUIVALENTEDEBASTA
3600,Spanish uncle?,NOMAS,Foreign language,¿tío?,FALSE,¿TIO
3604,Spanish point,NORTE,Foreign language,punto,FALSE,PUNTO
3606,Spanish skating figure,OCHO,Foreign language,figura de patinaje,FALSE,FIGURADEPATINAJE
3607,Word from a Spanish count?,OCHO,Foreign language,Palabra de,FALSE,PALABRADE
3608,Big figures in Spanish ice skating,OCHOS,Foreign language,Grandes figuras,FALSE,GRANDESFIGURAS
3609,Spanish skating figures,OCHOS,Foreign language,cifras de patinaje,FALSE,CIFRASDEPATINAJE
3639,Italian for 95-Down,ORA,Foreign language,95-Giù,FALSE,95GIU
3586,Spanish baby,NENE,Foreign language,bebé,FALSE,BEBE
3640,French river,ORNE,Foreign language,rivière,FALSE,RIVIERE
3643,Treasure on the Spanish Main,ORO,Foreign language,['Could not parse foreign language clue'],FALSE,
3672,French affirmative,OUI,Foreign language,Forme affirmative,FALSE,FORMEAFFIRMATIVE
3673,French vote,OUI,Foreign language,voter,FALSE,VOTER
3674,Parlement assent,OUI,Foreign language,['Could not parse foreign language clue'],FALSE,
3675,French acceptances,OUIS,Foreign language,acceptations,FALSE,ACCEPTATIONS
3676,French assents,OUIS,Foreign language,assentiment,FALSE,ASSENTIMENT
3677,French yeses,OUIS,Foreign language,oui,FALSE,OUI
3669,Spanish alternative?,OTRO,Foreign language,¿alternativa?,FALSE,¿ALTERNATIVA
3678,French accords?,OUIS,Foreign language,{} Agreements {},FALSE,AGREEMENTS
3680,"Spanish ""Listen!""",OYE,Foreign language,"""¡Escuchar!""",FALSE,¡ESCUCHAR
3681,Spanish attention-getter,OYE,Foreign language,atletero,FALSE,ATLETERO
3682,Spanish attention getter,OYE,Foreign language,Atención Getter,FALSE,ATENCIONGETTER
3683,Spanish clergyman,PADRE,Foreign language,clérigo,FALSE,CLERIGO
3684,Spanish rice dish,PAELLA,Foreign language,plato de arroz,FALSE,PLATODEARROZ
3685,Italian pal,PAISAN,Foreign language,amico,FALSE,AMICO
3686,"Bread, in Bologna",PANE,Foreign language,'NONE' IS AN INVALID TARGET LANGUAGE . EXAMPLE: LANGPAIR=EN|IT USING 2 LETTER ISO OR RFC3066 LIKE ZH-CN. ALMOST ALL LANGUAGES SUPPORTED BUT SOME MAY HAVE NO CONTENT,FALSE,NONEISANINVALIDTARGETLANGUAGEEXAMPLELANGPAIRENITUSING2LETTERISOORRFC3066LIKEZHCNALMOSTALLLANGUAGESSUPPORTEDBUTSOMEMAYHAVENOCONTENT
3688,French door plate,PANE,Foreign language,plaque de porte,FALSE,PLAQUEDEPORTE
3679,"Spanish ""Hey!""",OYE,Foreign language,"""¡Ey!""",FALSE,¡EY
3667,Spanish other,OTRA,Foreign language,otro,FALSE,OTRO
3666,Check box option on a Spanish survey?,OTRA,Foreign language,Opción de casilla de verificación en,FALSE,OPCIONDECASILLADEVERIFICACIONEN
3644,Treasure lost on the Spanish Main,ORO,Foreign language,['Could not parse foreign language clue'],FALSE,
3645,Spanish valuable,ORO,Foreign language,valioso,FALSE,VALIOSO
3646,Cargo on the Spanish Main,ORO,Foreign language,['Could not parse foreign language clue'],FALSE,
3647,Spanish precious metal,ORO,Foreign language,metal precioso,FALSE,METALPRECIOSO
3648,Spanish doubloon material,ORO,Foreign language,material de doble,FALSE,MATERIALDEDOBLE
3649,Classification for some popular Spanish music,ORO,Foreign language,'NONE' IS AN INVALID TARGET LANGUAGE . EXAMPLE: LANGPAIR=EN|IT USING 2 LETTER ISO OR RFC3066 LIKE ZH-CN. ALMOST ALL LANGUAGES SUPPORTED BUT SOME MAY HAVE NO CONTENT,FALSE,NONEISANINVALIDTARGETLANGUAGEEXAMPLELANGPAIRENITUSING2LETTERISOORRFC3066LIKEZHCNALMOSTALLLANGUAGESSUPPORTEDBUTSOMEMAYHAVENOCONTENT
3650,Spanish riches,ORO,Foreign language,riqueza,FALSE,RIQUEZA
3651,Makeup of a Spanish doubloon,ORO,Foreign language,Maquillaje de,FALSE,MAQUILLAJEDE
3652,Spanish Main cargo,ORO,Foreign language,Carga principal,FALSE,CARGAPRINCIPAL
3653,Spanish playing card,ORO,Foreign language,naipe,FALSE,NAIPE
3654,Suit in a Spanish card deck,OROS,Foreign language,'NONE' IS AN INVALID TARGET LANGUAGE . EXAMPLE: LANGPAIR=EN|IT USING 2 LETTER ISO OR RFC3066 LIKE ZH-CN. ALMOST ALL LANGUAGES SUPPORTED BUT SOME MAY HAVE NO CONTENT,FALSE,NONEISANINVALIDTARGETLANGUAGEEXAMPLELANGPAIRENITUSING2LETTERISOORRFC3066LIKEZHCNALMOSTALLLANGUAGESSUPPORTEDBUTSOMEMAYHAVENOCONTENT
3655,Some medals for Spanish athletes,OROS,Foreign language,'NONE' IS AN INVALID TARGET LANGUAGE . EXAMPLE: LANGPAIR=EN|IT USING 2 LETTER ISO OR RFC3066 LIKE ZH-CN. ALMOST ALL LANGUAGES SUPPORTED BUT SOME MAY HAVE NO CONTENT,FALSE,NONEISANINVALIDTARGETLANGUAGEEXAMPLELANGPAIRENITUSING2LETTERISOORRFC3066LIKEZHCNALMOSTALLLANGUAGESSUPPORTEDBUTSOMEMAYHAVENOCONTENT
3656,Rich Spanish decorations,OROS,Foreign language,['Could not parse foreign language clue'],FALSE,
3657,Spanish card suit,OROS,Foreign language,traje de tarjeta,FALSE,TRAJEDETARJETA
3658,Only U.S. state motto in Spanish,OROYPLATA,Foreign language,Solo el lema del estado de EE. UU.,FALSE,SOLOELLEMADELESTADODEEEUU
3663,Some Spanish zoo exhibits,OSOS,Foreign language,['Could not parse foreign language clue'],FALSE,
3664,Spanish bears,OSOS,Foreign language,ositos,FALSE,OSITOS
3665,Spanish alternative?,OTRA,Foreign language,¿alternativa?,FALSE,¿ALTERNATIVA
3642,Spanish treasure,ORO,Foreign language,tesoro,FALSE,TESORO
3689,French door part,PANE,Foreign language,partie de la porte,FALSE,PARTIEDELAPORTE
3585,French word in some bios,NEE,Foreign language,'NONE' IS AN INVALID TARGET LANGUAGE . EXAMPLE: LANGPAIR=EN|IT USING 2 LETTER ISO OR RFC3066 LIKE ZH-CN. ALMOST ALL LANGUAGES SUPPORTED BUT SOME MAY HAVE NO CONTENT,FALSE,NONEISANINVALIDTARGETLANGUAGEEXAMPLELANGPAIRENITUSING2LETTERISOORRFC3066LIKEZHCNALMOSTALLLANGUAGESSUPPORTEDBUTSOMEMAYHAVENOCONTENT
3583,French word on some wedding announcements,NEE,Foreign language,mot sur quelques annonces de mariage,FALSE,MOTSURQUELQUESANNONCESDEMARIAGE
3514,French noodle product?,IDEE,Foreign language,produit de nouilles?,FALSE,PRODUITDENOUILLES
3515,French notion,IDEE,Foreign language,"['notion', 'Translation uncertain']",FALSE,
3516,French notions,IDEES,Foreign language,mercerie,FALSE,MERCERIE
3517,French suffix that's an anagram of 4-Down,IERE,Foreign language,suffixe c'est une anagramme de 4-down,FALSE,SUFFIXECESTUNEANAGRAMMEDE4DOWN
3518,French suffix with jardin,IERE,Foreign language,suffixe avec jardin,FALSE,SUFFIXEAVECJARDIN
3519,French noun suffix,IERE,Foreign language,suffixe de nom,FALSE,SUFFIXEDENOM
3520,French suffix,IERE,Foreign language,suffixe,FALSE,SUFFIXE
3521,French pronoun,ILS,Foreign language,pronom,FALSE,PRONOM
3513,French abstraction,IDEE,Foreign language,"le captage,",FALSE,LECAPTAGE
3522,Spanish key,ISLA,Foreign language,llave,FALSE,LLAVE
3524,Spanish vacation site,ISLA,Foreign language,sitio de vacaciones,FALSE,SITIODEVACACIONES
3525,Spanish diminutive,ITA,Foreign language,diminutivo,FALSE,DIMINUTIVO
3526,Gendered Spanish suffix,ITA,Foreign language,['Could not parse foreign language clue'],FALSE,
3527,Feminine suffix in Spanish names,ITA,Foreign language,Sufijo femenino,FALSE,SUFIJOFEMENINO
3528,Spanish diminutive suffix,ITA,Foreign language,sufijo diminuto,FALSE,SUFIJODIMINUTO
3529,Spanish name suffix,ITA,Foreign language,sufijo de nombre,FALSE,SUFIJODENOMBRE
3530,Spanish female suffix,ITA,Foreign language,sufijo femenino,FALSE,SUFIJOFEMENINO
3531,Diminutive suffix in Spanish,ITO,Foreign language,Sufijo diminuto,FALSE,SUFIJODIMINUTO
3523,Spanish getaway locale,ISLA,Foreign language,lugar de escape,FALSE,LUGARDEESCAPE
3512,French brainchild,IDEE,Foreign language,conçu,FALSE,CONÇU
3511,"At this point, in France",ICI,Foreign language,À ce point,FALSE,ACEPOINT
3509,French place,ICI,Foreign language,lieu,FALSE,LIEU
3484,French bakery offering,GATEAU,Foreign language,Offrande de boulangerie,FALSE,OFFRANDEDEBOULANGERIE
3486,Italian treat,GELATO,Foreign language,trattare,FALSE,TRATTARE
3487,French frost,GELEE,Foreign language,gel,FALSE,GEL
3488,French copper,GENDARME,Foreign language,cuivre,FALSE,CUIVRE
3489,French cop,GENDARME,Foreign language,flic,FALSE,FLIC
3491,French dessert,GLACE,Foreign language,"['dessert', 'Translation uncertain']",FALSE,
3493,"Fat, in France",GRAS,Foreign language,Graisse,FALSE,GRAISSE
3494,"Fat, in France",GROSSE,Foreign language,Graisse,FALSE,GRAISSE
3495,Speak in Spanish,HABLA,Foreign language,Hablar,FALSE,HABLAR
3496,French word before cuisine or couture,HAUTE,Foreign language,mot avant la cuisine ou la couture,FALSE,MOTAVANTLACUISINEOULACOUTURE
3497,French high,HAUTE,Foreign language,haut,FALSE,HAUT
3498,Spanish greeting,HOLA,Foreign language,saludo,FALSE,SALUDO
3499,Spanish welcome,HOLA,Foreign language,bienvenido,FALSE,BIENVENIDO
