number,start_col,start_row,end_col,end_row,clue,"length (optional column, for checking only)","answer (optional column, for checking only)"
1,0,0,7,0,Italian almond-flavored cookies,8,AMARETTI
9,10,0,13,0,Highland boating spot,4,LOCH
13,16,0,20,0,Thick slices,5,SLABS
18,0,1,7,1,Local at St. Mark's Square,8,VENETIAN
19,9,1,14,1,Put right,6,REPAIR
21,16,1,20,1,Bridal path,5,AISLE
22,0,2,0,2,Plant with clusters of tiny white flowers,1,
23,9,2,14,2,Come forth,6,EMERGE
24,16,2,20,2,"Do OK, academically",5,GETAC
25,1,3,3,3,Instinctive,3,GUT
26,5,3,9,3,"Source of the phrase ""Look before you leap""",5,AESOP
28,11,3,13,3,Opportunity for making professional connections,3,
30,0,4,3,4,Little cells,4,AAAS
31,8,4,15,4,Traditional Easter entree,8,ROASTHAM
33,18,4,20,4,"MGM rival, once",3,RKO
34,0,5,3,5,Part of a sword,4,HILT
35,5,5,11,5,Hurriedly,7,INHASTE
38,14,5,20,5,"More versed in esoterica, maybe",7,NERDIER
41,0,6,7,6,Reason one might not go out for a long time?,8,INSOMNIA
43,10,6,13,6,"""Forbidden"" fragrance",4,TABU
46,15,6,19,6,Biblical verb with thou,5,DOEST
47,4,7,9,7,One after the other,6,INTURN
50,11,7,14,7,Model Banks,4,TYRA
52,16,7,19,7,Bhutanese bovines,4,YAKS
53,0,8,4,8,Fire-resistant tree,5,ASPEN
57,6,8,9,8,Fruit also called blackthorn,4,SLOE
58,12,8,12,8,Works as a mixologist,1,
60,0,9,5,9,Raid and plunder,6,MARAUD
62,7,9,11,9,Taken (with),5,
65,13,9,16,9,"Water works, e.g.: Abbr.",4,UTIL
66,18,9,20,9,Zip,3,PEP
69,0,10,6,10,"Put on the map, say",7,PLOTTED
71,8,10,10,10,Control element in medical trials,3,
73,14,10,20,10,Anger,7,INFLAME
75,0,11,2,11,"Do some hemming, but not hawing",3,SEW
76,4,11,7,11,Zip,4,ELAN
78,9,11,9,11,"Waters of the world, figuratively",1,
80,15,11,20,11,"From Serbia or Croatia, say",6,SLAVIC
81,3,12,8,12,"Anne Hathaway's role in 2010's ""Alice in Wonderland""",6,
83,11,12,14,12,"Actress Perlman of ""Cheers""",4,RHEA
85,16,12,20,12,Uses a ride-ordering service,5,UBERS
86,1,13,4,13,Public discussion venues,4,FORA
88,6,13,9,13,1975 Wimbledon winner,4,ASHE
90,11,13,16,13,Daybreaks,6,SUNUPS
92,1,14,5,14,Roulette bets with nearly 1:1 odds,5,EVENS
94,7,14,10,14,Old imperial title,4,TSAR
96,13,14,20,14,"Steve Martin, Tina Fey and Drew Barrymore, all more than five times",8,SNLHOSTS
101,0,15,6,15,"Fraser of 1999's ""The Mummy""",7,BRENDAN
103,9,15,15,15,Groups within groups,7,SUBSETS
106,17,15,20,15,100%,4,PURE
107,0,16,2,16,Part of U.S.D.A.: Abbr.,3,AGR
108,5,16,12,16,Original first name of Mickey Mouse,8,MORTIMER
111,17,16,20,16,It can have a French or pistol grip,4,EPEE
112,0,17,4,17,What can keep a bubble from bursting,5,
115,11,17,15,17,Trumpeter Armstrong,5,LOUIS
119,17,17,19,17,F.D.R. initiative for workers' rights,3,NRA
120,0,18,4,18,Sci-fi author Asimov,5,ISAAC
121,6,18,11,18,"""That's cool, man""",6,IDIGIT
123,13,18,16,18,Some loungewear,4,
126,0,19,4,19,"""Whole ___ Love"" (Led Zeppelin hit)",5,LOTTA
127,6,19,11,19,Artifacts,6,RELICS
128,13,19,20,19,Held in high regard,8,ESTEEMED
129,0,20,4,20,Scornful look,5,SNEER
130,7,20,10,20,Philosopher Descartes,4,RENE
131,13,20,20,20,1998 Matt Damon film featuring this puzzle's game,8,ROUNDERS
1,0,0,0,2,Pop culture sister site of The Onion,3,
2,1,0,1,6,"""I'm back""",7,MEAGAIN
3,2,0,2,6,Flowers like marigolds and petunias,7,ANNUALS
4,3,0,3,6,"Takes on, as a tenant",7,RENTSTO
5,4,0,4,2,French summer,3,ETE
6,5,0,5,3,"""___ consummation / Devoutly to be wish'd"": Hamlet",4,TISA
7,6,0,6,3,Yarn,4,TALE
8,7,0,7,2,Aplenty,3,
9,10,0,10,2,"Apollo vehicle, for short",3,LEM
10,11,0,11,7,Legislative vacancy,8,OPENSEAT
11,12,0,12,4,Insertion mark,5,CARET
12,13,0,13,3,Like a geocentric orbit in which the orbital period is more than 24 hours,4,
13,16,0,16,3,Wise,4,SAGE
14,17,0,17,3,Actor Schreiber,4,LIEV
15,18,0,18,7,Footnote indicator,8,ASTERISK
16,19,0,19,7,They might be down for a nap,8,BLANKETS
17,20,0,20,5,Economy part,6,SECTOR
19,9,1,9,5,"Some tow jobs, for short",5,REPOS
20,14,1,14,5,Aired again,5,RERAN
27,8,3,8,5,"Hour, in Italy",3,ORA
29,15,3,15,3,Resort chain since 1950,1,
30,0,4,0,6,Tuna type,3,AHI
32,10,4,10,6,QB stat: Abbr.,3,ATT
35,5,5,5,7,"The Tabard in ""The Canterbury Tales,"" e.g.",3,INN
36,6,5,6,8,They're picked by the picky,4,NITS
37,7,5,7,9,Schleps,5,HAULS
39,16,5,16,14,123-Across’s holding that wins this puzzle’s game,10,ROYALFLUSH
40,17,5,17,8,Letter starter,4,DEAR
42,4,6,4,15,Indicator on a clock … or one of four in this puzzle?,10,MINUTEHAND
44,12,6,12,8,How words may be recited,3,
45,13,6,13,9,"Language in which ""khoobsurat"" means ""beautiful""",4,URDU
48,8,7,8,10,Frolic,4,ROMP
49,9,7,9,11,"""America"" singer, 1981",5,
51,14,7,14,10,Noted sparkling wine region,4,ASTI
53,0,8,0,11,Some gear for a gig,4,AMPS
54,1,8,1,11,Register ring-up,4,SALE
55,2,8,2,11,"Fore, for the H.M.S. Pinafore",4,PROW
56,3,8,3,10,Consume,3,EAT
59,15,8,15,11,Recycling receptacles,4,BINS
61,5,9,5,12,Site of a counter offer?,4,DELI
63,10,9,10,10,"Literature, theater, filmmaking and others",2,
64,11,9,11,9,"Rave attendees, for example",1,
66,18,9,18,12,___ the way,4,PAVE
67,19,9,19,12,"Title meaning ""commander""",4,EMIR
68,20,9,20,12,"Benching targets, informally",4,PECS
70,6,10,6,13,"Statistics, e.g.",4,DATA
72,12,10,12,13,Home of Iolani Palace,4,OAHU
74,17,10,17,12,Place to wear goggles,3,LAB
77,7,11,7,14,Cardinal point?,4,NEST
79,13,11,13,15,Good judgment,5,SENSE
81,3,12,3,15,Small songbird,4,WREN
82,8,12,8,12,Fireplaces,1,
84,14,12,14,15,"Em or Bee, e.g.",4,AUNT
86,1,13,1,20,Missouri site of 2014 civil rights protests,8,FERGUSON
87,2,13,2,20,Think too highly of,8,OVERRATE
89,9,13,9,20,Entering gingerly,8,EASINGIN
91,15,13,15,15,"Counterpart of ""Thx""",3,PLS
93,5,14,5,17,Humphrey Bogart role,4,
95,10,14,10,16,Common component of a tiki bar cocktail,3,RUM
97,17,14,17,18,Honest and caring,5,
98,18,14,18,20,"Diana Ross, once",7,SUPREME
99,19,14,19,20,One picking up the tab,7,TREATER
100,20,14,20,16,Spot,3,SEE
101,0,15,0,20,"""Purple"" and ""Thai"" herbs",6,BASILS
102,6,15,6,19,Polite refusal,5,NOSIR
104,11,15,11,19,Big swigs,5,BELTS
105,12,15,12,17,Sign of a full house,3,SRO
109,7,16,7,20,Public transit customer,5,RIDER
110,8,16,8,20,Patterned fabric,5,TOILE
113,3,17,3,20,Kismet,4,FATE
114,4,17,4,17,Place to dine on a train,1,
116,13,17,13,20,"Account creator, maybe",4,USER
117,14,17,14,20,"""___ Excited"" (Pointer Sisters song)",4,IMSO
118,15,17,15,20,Yearly January speech to Congress: Abbr.,4,SOTU
122,10,18,10,20,Chill,3,ICE
124,16,18,16,18,Give new hope to,1,
125,20,18,20,20,1960s campus activist grp.,3,SDS
