Clue,Expected Answer,Wikipedia Page Title,Title Match,Content Match
Badlands formation,mesa,Bull Canyon Formation,False,True
Fields of Hollywood,totie,Totie Fields,True,True
Tag cry,out,Bryan Danielson,False,True
Honor bestowed by 53-Down,obe,Annihilationism,False,True
Cowardly ___,lion,Cowardly Lion,True,True
1943 conference site,tehran,Eastern Front (World War II),False,True
Intensely interested,agog,Robert Andrews Millikan,False,True
Abbr. in an office title,asst,No Title Match,False,False
"Topps rival, to baseball card collectors",fleer,Fleer,True,True
Where the deer and the antelope play,range,Home on the Range,True,True
"___ Castellaneta, voice of Homer Simpson",dan,Dan Castellaneta,True,True
Seat cover?,pants,Honda Element,False,True
Triple Crown winner of 1977,seattleslew,No Title Match,False,False
Spot,site,Great Red Spot,False,True
Solo,allalone,No Title Match,False,False
Intersected,met,Bounding volume hierarchy,False,True
Carillon sounds,peals,Campanology,False,True
Dairy Queen offerings,sundaes,Häagen-Dazs,False,True
"With 1 Down, Old Glory V.I.P.",betsy,List of people from San Diego,False,True
"Atmosphere on ""The Twilight Zone""",eeriness,No Title Match,False,False
