ID,Clue,Word,Class,TranslationStatus
,French clerics,ABBES,Foreign language,True
,Spanish month that anagrams to a zodiac sign,ABRIL,Foreign language,True
,"Month after marzo, in Mexico",ABRIL,Foreign language,True
,Part of a Spanish play,ACTO,Foreign language,True
,Spanish marinade,ADOBO,Foreign language,True
,Word on mail from Spain,AEREO,Foreign language,False
,Stamp on mail from Mexico,AEREO,Foreign language,False
,Word on mail from Mexico,AEREO,Foreign language,False
,Spanish prefix with lineas,AERO,Foreign language,True
,Spanish water,AGUA,Foreign language,True
,Main contents of the Spanish,AGUA,Foreign language,False
,Contents of the Spanish Main,AGUA,Foreign language,False
,Composition of the Spanish Main,AGUA,Foreign language,False
,"Water, in Oaxaca",AGUA,Foreign language,True
,"Rain, in Spain",AGUA,Foreign language,True
,It's off the coast of Spain,AGUA,Foreign language,False
,The rain in Spain,AGUA,Foreign language,True
,Oaxaca water,AGUA,Foreign language,False
,Tijuana water,AGUA,Foreign language,False
,Spanish rains,AGUAS,Foreign language,True
,Rains in Spain,AGUAS,Foreign language,True
,Oaxaca waters,AGUAS,Foreign language,False
,"Spanish ""now""",AHORA,Foreign language,True
,What's now in Mexico?,AHORA,Foreign language,True
,"Now, in Spain",AHORA,Foreign language,True
,Spanish winds,AIRES,Foreign language,True
,"Cottonwood, in Spanish",ALAMO,Foreign language,True
,"Spanish for ""poplar""",ALAMO,Foreign language,True
,"Tree-lined walkway, in France",ALLEE,Foreign language,True
,French walk,ALLEE,Foreign language,True
,French back street,ALLEE,Foreign language,True
,French avenue,ALLEE,Foreign language,True
,"Tree-lined way, in France",ALLEE,Foreign language,True
,"To love, in Italian",AMARE,Foreign language,True
,"To love, in Italy",AMARE,Foreign language,True
,"To love, Italian-style",AMARE,Foreign language,False
,French fine,AMENDE,Foreign language,True
,"Fine, in France",AMENDE,Foreign language,True
,"Beau, to Brigitte",AMI,Foreign language,False
,Le Pen pal?,AMI,Foreign language,False
,French friend,AMI,Foreign language,True
,Friend in France,AMI,Foreign language,True
,French Facebook connection,AMI,Foreign language,True
,"French toast maker, maybe",AMI,Foreign language,True
,"French kiss recipient, maybe",AMI,Foreign language,True
