,number,start_col,start_row,end_col,end_row,clue,"answer (optional column, for checking only)",number_direction,length,answer_certainty,answer_list,placed_answer,coordinate_set,Top_Predicted_Classes
32,62,0,9,2,9,___ hall,REC,62-Across,3,,[],,"{(2, 9), (0, 9), (1, 9)}","[('Basic fill in the blank', 0.9392613115417892), ('Foreign language fill in the blank', 0.04073868845821083), ('Members of a class', 0.01)]"
104,61,19,8,19,11,___ Club,ELKS,61-Down,4,,[],,"{(19, 8), (19, 9), (19, 10), (19, 11)}","[('Basic fill in the blank', 0.9569537587618331), ('Proper noun fill in the blank', 0.03468351496463194)]"
89,30,14,3,14,6,State ___,FAIR,30-Down,4,,[],,"{(14, 6), (14, 3), (14, 4), (14, 5)}","[('Basic fill in the blank', 0.9646978622734932), ('Proper noun fill in the blank', 0.03530213772650682)]"
97,45,5,6,5,10,Celebrity chef DiSpirito,ROCCO,45-Down,5,,[],,"{(5, 8), (5, 7), (5, 10), (5, 6), (5, 9)}","[('Find name given profession/reference', 0.8308519701810436), ('Encyclopedia lookup', 0.14914802981895633), ('Foreign language', 0.02)]"
26,53,9,7,13,7,Model world,GLOBE,53-Across,5,,[],,"{(11, 7), (12, 7), (13, 7), (10, 7), (9, 7)}","[('Find name given profession/reference', 0.87), ('Foreign language', 0.05), ('Acronym/short form answer', 0.04)]"
22,46,7,6,11,6,"Singer White with the 1991 #1 hit ""Romantic""",KARYN,46-Across,5,,[],,"{(9, 6), (11, 6), (7, 6), (10, 6), (8, 6)}","[('Find name given profession/reference', 0.88), ('Roman numeral', 0.07), ('Quote fill in the blank', 0.02)]"
23,48,13,6,16,6,Actress de Matteo,DREA,48-Across,4,,[],,"{(14, 6), (15, 6), (13, 6), (16, 6)}","[('Find name given profession/reference', 0.8843262879788639), ('Encyclopedia lookup', 0.09), ('Roman numeral', 0.025673712021136063)]"
61,114,15,17,20,17,"""In Search of Lost Time"" novelist",PROUST,114-Across,6,,[],,"{(17, 17), (18, 17), (19, 17), (20, 17), (15, 17), (16, 17)}","[('Find name given profession/reference', 0.89), ('Foreign language', 0.04), ('Roman numeral', 0.04)]"
91,34,8,4,8,6,Actress Thurman,UMA,34-Down,3,,[],,"{(8, 4), (8, 5), (8, 6)}","[('Find name given profession/reference', 1.0)]"
31,60,15,8,19,8,Gumption,NERVE,60-Across,5,,[],,"{(19, 8), (15, 8), (16, 8), (17, 8), (18, 8)}","[('One word synonym', 0.9869111453563566), ('Roman numeral', 0.0130888546436435)]"
